name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
LaH2PO4+2,NA,LaH2PO4+2,aq,"HSS95 [S98]",SLOP98.10,2.Jun.98,-437600,-482800,-30.2,37.3,-3.2,1.8993,-3.1434,6.9845,-2.649,41.8879,4.5243,1.5168,2
LaCO3+,NA,LaCO3+,aq,"HSS95 [S98]",SLOP98.10,2.Jun.98,-299900,-334810,-44.2,-64,-22.3,-0.8237,-9.7872,9.5838,-2.3743,-20.0908,-16.0917,1.2275,1
LaSO4+,NA,LaSO4+,aq,"HSS95 [S98]",NA,21.Jan.98,-346900,-382600,-16,-58.9,-3.3,1.6077,-3.853,7.2584,-2.6197,-27.1374,-15.0529,0.7895,1
CeBr+2,NA,CeBr+2,aq,"HSS95 [S98]",NA,21.Jan.98,-186988,-195709,-25.01,NA,NA,0.8072,-5.8045,8.0178,-2.5389,13.8428,-4.9716,1.4382,2
CeClO4+2,NA,CeClO4+2,aq,"HSS95 [S98]",NA,21.Jan.98,-166246,-210026,-36.06,NA,NA,3.5099,0.7863,5.4456,-2.8114,42.4445,4.4497,1.6005,2
CeIO3+2,NA,CeIO3+2,aq,"HSS95 [S98]",NA,21.Jan.98,-194792,-225358,-28.97,NA,NA,0.9706,-5.4027,7.8548,-2.5556,29.8495,0.4044,1.4967,2
CeCl+2,NA,CeCl+2,aq,"HSS95 [S98]",NA,21.Jan.98,-193400,-203800,-22.1,-7.5,-18,-0.1746,-8.1993,8.9525,-2.4399,14.478,-4.6011,1.3914,2
CeCl2+,NA,CeCl2+,aq,"HSS95 [S98]",SLOP98.10,2.Jun.98,-224400,-242300,-5.1,-16,6.9,2.9511,-0.5763,5.9777,-2.7551,2.5793,-6.3002,0.6305,1
CeCl3,NA,CeCl3,aq,"HSS95 [S98]",SLOP98.10,2.Jun.98,-255200,-283500,2.6,-63.6,34.7,6.4972,8.0855,2.5659,-3.1132,-31.3975,-15.9948,-0.03,0
CeCl4-,NA,CeCl4-,aq,"HSS95 [S98]",SLOP98.10,2.Jun.98,-286100,-327600,0.3,-150.3,64.9,11.2558,19.7046,-2.0003,-3.5935,-67.0564,-33.6847,1.6238,-1
CeF+2,NA,CeF+2,aq,"HSS95 [S98]",NA,21.Jan.98,-234700,-242000,-14.3,-3.5,-37.1,-2.8281,-14.682,11.5084,-2.1719,15.8334,-3.7656,1.2776,2
CeF2+,NA,CeF2+,aq,"HSS95 [S98]",NA,21.Jan.98,-306200,-324100,-10.1,-6.2,-33.5,-2.5538,-14.0092,11.2373,-2.1998,8.9628,-4.3051,0.7003,1
CeF3,NA,CeF3,aq,"HSS95 [S98]",NA,21.Jan.98,-376600,-409300,-19.7,-46.5,-29.5,-2.2777,-13.3348,10.9718,-2.2276,-21.3883,-12.5158,-0.03,0
CeF4-,NA,CeF4-,aq,"HSS95 [S98]",NA,21.Jan.98,-446500,-498900,-46.1,-124.3,-25.9,-0.8995,-9.9693,9.6488,-2.3668,-45.3959,-28.3978,2.3239,-1
CeOH+2,NA,CeOH+2,aq,"HSS95 [S98]",SLOP98.10,2.Jun.98,-206800,-215210,-2.7,-34.1,4.5,2.7525,-1.0606,6.1673,-2.7351,-3.684,-9.9807,1.1,2
CeO+,NA,CeO+,aq,"HSS95 [S98]",SLOP98.10,2.Jun.98,-195900,-199510,13.4,-76.1,7,2.8409,-0.843,6.0772,-2.7441,-35.2162,-18.5361,0.3491,1
CeO2H,NA,CeO2H,aq,"HSS95 [S98]",NA,21.Jan.98,-239300,-249500,48.5,-134.6,23.8,5.0117,4.4582,3.9917,-2.9632,-72.9937,-30.4525,-0.03,0
